user_id,nom,prenom,telephone,adresse,activite,email
JM49626,Junior,Marie,343322,Delmas,etudiant,junior@gmail.com
JW85057,John,Walney,234571,PV,etudiant,walney@gmail.com
LJ20611,lise,joseph,3434533,delmas,etudiante,kkkkk
DJ14893,Dieubon,Jean,23445,PV,Etudiasnt,Dieubon@gmail.com
JJ84485,Julnise,Joseph,23344,PV\,Etudiante,Julnise@gmail.com
MJ28003,Marck,June,2333442,PV,ING,ma@gmail.com
RT33262,Renise,Tinot,2737737,Pecry,Etudiante,Re@gmail.com
JM82190,jojo,mare,3889399834,pv,etudiant,jjo@gmail.com
EM17525,Edvard,Marie,3443,Delmas,prof,edvard@gmail.com
DD18484,Clairin,David,3456786789,Miami,Medecin,david@gmail.com
BJ52146,Biden,Joseph,2346544,Delmas,Prof,Biden@gmail.com
DO55471,dkkdkd,oewee,2343,dkkd,jjdd,ejje
JA98847,Jespere,Antoine,32543334,marouj,jdjjd,djdjjd
DJ71386,Dieuseul,Junu,343333,ddfff,eee,fgfgg
CP71716,Carter,Patrice,345662,PV,prof,carter@gmail.com
OD24518,Olivier,David,34568282,"8,pacot",etudiant,olivier@gmail.com
